A   4.013   0.307   4.192   0.343
C   4.000   0.300   4.641   0.397
D   4.449   0.157   4.605   0.323
E   3.973   0.238   4.215   0.309
F   4.133   0.379   4.492   0.497
G     nan     nan     nan     nan
H   4.426   0.223   4.826   0.094
I   3.637   0.283   4.055   0.402
K   3.967   0.267   4.282   0.420
L   3.983   0.256   4.309   0.357
M   4.097   0.355   4.354   0.439
N   4.442   0.209   4.794   0.300
P   4.224   0.254   4.416   0.248
Q   3.978   0.250   4.252   0.373
R   3.960   0.286   4.414   0.417
S   4.173   0.253   4.576   0.317
T   3.939   0.247   4.611   0.332
V   3.569   0.305   3.945   0.456
W   4.252   0.354   4.398   0.361
Y   4.101   0.382   4.423   0.465
X   4.294   0.470   4.723   0.391
